type,model,.metric,.estimate
raw,biLSTM,f_meas,0.951897872993283
raw,biLSTM,precision,0.9510684455569921
raw,biLSTM,accuracy,0.9529870402240357
raw,biLSTM,sensitivity,0.952806611093916
raw,biLSTM,specificity,0.952806611093916
median_5,biLSTM,f_meas,0.9571154027829059
median_5,biLSTM,precision,0.9562938137893042
median_5,biLSTM,accuracy,0.9580882942566171
median_5,biLSTM,sensitivity,0.9580131222948909
median_5,biLSTM,specificity,0.9580131222948909
median_10,biLSTM,f_meas,0.9541276061543154
median_10,biLSTM,precision,0.9547027615413342
median_10,biLSTM,accuracy,0.9553088201730848
median_10,biLSTM,sensitivity,0.9535813491273599
median_10,biLSTM,specificity,0.9535813491273599
